episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
43,12789,0.05,,400,8.6,14.2,0.135933,10000,prioritized,0.6,1.0,0.631909,15.396718,0.936391,3.890589,6.141763,19.51796
44,13189,0.05,,400,10.2,6.6,0.173768,10000,prioritized,0.6,1.0,0.707882,15.396718,0.963099,3.36888,5.900339,18.244892
45,13589,0.05,,400,9.6,6.2,0.181771,10000,prioritized,0.6,1.0,0.733621,15.396718,0.979146,2.732602,5.509118,17.104008
46,13989,0.05,,400,9.2,10.6,0.150105,10000,prioritized,0.6,1.0,0.666776,15.396718,0.9415,2.059143,5.14697,16.686127
47,14389,0.05,,400,8.8,9.2,0.141827,10000,prioritized,0.6,1.0,0.65907,15.396718,0.934815,1.883602,5.289577,16.824343
48,14789,0.05,,400,7.4,5.4,0.234363,10000,prioritized,0.6,1.0,0.841173,15.396718,0.996268,0.822817,5.068388,14.868563
49,15189,0.05,,400,7.8,6.6,0.198635,10000,prioritized,0.6,1.0,0.816016,15.396718,1.005768,0.663482,4.566315,13.917023
50,15589,0.05,,400,9.0,6.0,0.234233,10000,prioritized,0.6,1.0,0.864524,15.396718,1.043533,-0.030143,4.697254,13.930089
51,15989,0.05,,400,5.2,5.2,0.287587,10000,prioritized,0.6,1.0,0.964482,15.622203,1.046745,-0.731797,4.956983,13.928937
52,16389,0.05,,400,5.0,6.8,0.226811,10000,prioritized,0.6,1.0,0.844046,15.622203,0.953892,-1.249043,4.518513,14.114845
53,16789,0.05,,400,10.2,6.8,0.2563,10000,prioritized,0.6,1.0,0.873701,15.622203,1.031176,-1.296326,5.096077,15.468423
54,17189,0.05,,400,7.0,6.4,0.214036,10000,prioritized,0.6,1.0,0.835645,17.45233,1.0532,-2.076073,4.961187,15.96397
55,17589,0.05,,400,11.8,4.8,0.248703,10000,prioritized,0.6,1.0,0.894747,17.45233,1.0151,-1.991124,5.218593,16.228649
56,17989,0.05,,400,5.6,5.6,0.336794,10000,prioritized,0.6,1.0,1.055735,17.45233,1.233587,-1.88346,5.805522,16.43668
57,18389,0.05,,400,5.2,7.0,0.338949,10000,prioritized,0.6,1.0,1.04876,18.43676,1.185779,-2.411144,5.953872,17.466328
58,18789,0.05,,400,6.6,6.6,0.339937,10000,prioritized,0.6,1.0,1.020819,18.43676,1.202648,-2.845517,6.46469,19.498463
59,19189,0.05,,400,8.8,4.2,0.350107,10000,prioritized,0.6,1.0,1.057223,18.43676,1.270763,-3.085524,6.800982,20.730196
60,19589,0.05,,400,5.4,5.4,0.384475,10000,prioritized,0.6,1.0,1.120334,18.43676,1.283434,-3.381278,7.187304,21.42193
61,19989,0.05,,400,7.8,5.0,0.401816,10000,prioritized,0.6,1.0,1.136562,18.623631,1.329516,-3.194794,7.452491,22.171247
62,20389,0.05,,400,11.2,4.8,0.394591,10000,prioritized,0.6,1.0,1.120998,19.909246,1.279543,-3.619457,7.954136,24.010002
63,20789,0.05,,400,9.4,6.8,0.418766,10000,prioritized,0.6,1.0,1.187692,21.066904,1.40804,-4.150205,8.179893,25.032412
64,21189,0.05,,400,11.6,5.4,0.437104,10000,prioritized,0.6,1.0,1.199371,21.066904,1.392556,-4.833327,8.331376,26.001055
65,21589,0.05,,400,5.4,5.2,0.44065,10000,prioritized,0.6,1.0,1.160265,21.066904,1.328867,-5.356688,8.670806,27.56834
66,21989,0.05,,400,5.6,5.2,0.496344,10000,prioritized,0.6,1.0,1.288504,21.156046,1.525753,-4.726029,9.142767,28.073072
67,22389,0.05,,400,6.2,9.4,0.516371,10000,prioritized,0.6,1.0,1.307532,21.464659,1.495008,-5.077368,9.787058,29.895613
68,22789,0.05,,400,9.0,8.2,0.45325,10000,prioritized,0.6,1.0,1.214886,22.111504,1.474793,-5.535781,9.561646,30.999315
69,23189,0.05,,400,5.2,7.6,0.439632,10000,prioritized,0.6,1.0,1.148814,22.111504,1.406874,-6.473572,9.930068,32.71806
70,23589,0.05,,400,6.0,8.4,0.589995,10000,prioritized,0.6,1.0,1.392628,22.657429,1.698941,-4.715902,11.424512,33.250397
71,23989,0.05,,400,9.6,11.2,0.629823,10000,prioritized,0.6,1.0,1.462513,25.544245,1.75962,-4.985041,11.728987,34.38562
72,24389,0.05,,400,8.2,5.0,0.592584,10000,prioritized,0.6,1.0,1.397972,25.544245,1.66664,-6.791105,11.300427,35.438053
73,24789,0.05,,400,9.4,9.4,0.584732,10000,prioritized,0.6,1.0,1.327516,25.544245,1.57001,-7.565866,11.856714,37.80645
74,25189,0.05,,400,7.8,6.0,0.637087,10000,prioritized,0.6,1.0,1.428678,25.544245,1.698704,-6.541687,12.164837,37.955303
75,25589,0.05,,400,6.2,5.8,0.618588,10000,prioritized,0.6,1.0,1.444137,25.544245,1.737335,-6.784601,12.720453,39.391266
76,25989,0.05,,400,5.2,11.6,0.568702,10000,prioritized,0.6,1.0,1.341784,25.544245,1.723408,-7.668314,12.726426,41.458443
77,26389,0.05,,400,5.0,6.2,0.726733,10000,prioritized,0.6,1.0,1.527758,26.13583,1.802176,-8.3056,13.26405,41.790207
78,26789,0.05,,400,10.6,5.0,0.690102,10000,prioritized,0.6,1.0,1.491668,26.914579,1.819965,-7.63772,12.956059,42.284958
79,27189,0.05,,400,5.4,5.0,0.626223,10000,prioritized,0.6,1.0,1.423741,27.011635,1.710455,-9.891467,14.373605,46.92905
80,27589,0.05,,400,5.4,6.0,0.763129,10000,prioritized,0.6,1.0,1.619851,27.452246,1.901594,-9.323491,14.937534,46.808266
81,27989,0.05,,400,7.6,11.4,0.733217,10000,prioritized,0.6,1.0,1.549502,28.15671,1.886616,-8.946585,14.591328,47.685753
82,28389,0.05,,400,5.8,5.0,0.89224,10000,prioritized,0.6,1.0,1.744677,31.528616,2.078366,-8.394195,15.701511,48.636578
83,28789,0.05,,400,6.2,8.8,0.680099,10000,prioritized,0.6,1.0,1.437493,31.528616,1.861602,-10.139861,16.141708,53.451279
84,29189,0.05,,400,8.6,6.6,0.894964,10000,prioritized,0.6,1.0,1.711089,31.528616,2.051728,-10.107244,17.1619,53.827145
85,29589,0.05,,400,6.4,5.6,0.871015,10000,prioritized,0.6,1.0,1.737295,31.528616,1.970696,-10.782722,16.775352,53.743343
86,29989,0.05,,400,7.0,4.8,0.906356,10000,prioritized,0.6,1.0,1.79299,31.528616,2.164283,-9.311392,16.860334,53.801037
87,30389,0.05,,400,3.6,5.6,1.004941,10000,prioritized,0.6,1.0,1.892711,33.693275,2.187493,-10.364612,17.890993,56.451923
88,30789,0.05,,400,7.4,5.0,1.025402,10000,prioritized,0.6,1.0,1.896833,33.693275,2.216171,-11.171989,18.850002,59.734425
89,31189,0.05,,400,6.8,5.4,0.950965,10000,prioritized,0.6,1.0,1.777247,33.693275,2.172458,-10.364778,18.671227,61.112137
90,31589,0.05,,400,7.4,9.4,1.120553,10000,prioritized,0.6,1.0,1.983963,34.137383,2.325854,-12.674799,20.26376,64.19548
91,31989,0.05,,400,6.2,5.0,1.030765,10000,prioritized,0.6,1.0,1.889864,34.737354,2.288386,-14.011162,21.194941,69.258362
92,32389,0.05,,400,11.0,5.2,1.049244,10000,prioritized,0.6,1.0,1.933575,35.059536,2.324197,-12.73847,21.710508,69.398636
93,32789,0.05,,400,8.8,9.4,1.153783,10000,prioritized,0.6,1.0,2.055025,35.680683,2.488523,-14.310351,22.14126,71.348473
94,33189,0.05,,400,14.4,10.8,1.122123,10000,prioritized,0.6,1.0,1.922792,37.435955,2.314287,-13.622341,22.97187,74.687431
95,33589,0.05,,400,8.4,7.6,1.24521,10000,prioritized,0.6,1.0,2.126433,37.435955,2.490373,-14.199131,23.512671,74.624352
96,33989,0.05,,400,5.4,5.4,1.007696,10000,prioritized,0.6,1.0,1.846495,37.858917,2.389498,-17.053946,24.093391,81.105598
97,34389,0.05,,400,9.4,5.2,1.225892,10000,prioritized,0.6,1.0,2.023704,41.659973,2.510648,-15.757268,24.119902,80.674698
98,34789,0.05,,400,6.0,8.0,1.233582,10000,prioritized,0.6,1.0,2.095301,41.659973,2.59477,-16.575031,25.939009,84.758926
99,35189,0.05,,400,9.6,10.4,1.324129,10000,prioritized,0.6,1.0,2.143617,41.659973,2.730493,-14.800612,26.160898,85.15802
100,35589,0.05,,400,6.8,8.0,1.431481,10000,prioritized,0.6,1.0,2.316005,41.659973,2.748574,-16.269114,27.679052,89.353317
101,35989,0.05,,400,6.0,5.6,1.405202,10000,prioritized,0.6,1.0,2.213795,41.659973,2.693754,-19.337351,28.336464,94.549301
102,36389,0.05,,400,4.2,5.8,1.22644,10000,prioritized,0.6,1.0,2.047783,42.808727,2.626409,-20.52622,29.107788,98.932632
103,36789,0.05,,400,7.8,5.4,1.328119,10000,prioritized,0.6,1.0,2.173956,44.552372,2.778447,-20.503994,30.908813,102.609001
104,37189,0.05,,400,8.0,11.4,1.588738,10000,prioritized,0.6,1.0,2.431317,44.552372,2.975223,-19.547394,31.805981,102.187965
105,37589,0.05,,400,9.4,9.4,1.678047,10000,prioritized,0.6,1.0,2.566671,44.552372,2.948572,-18.387196,31.055952,99.786446
106,37989,0.05,,400,5.6,7.6,1.573292,10000,prioritized,0.6,1.0,2.410799,46.029907,3.026486,-21.093697,31.861412,106.48793
107,38389,0.05,,400,9.2,4.6,1.490389,10000,prioritized,0.6,1.0,2.337244,46.029907,2.827048,-22.69381,33.916515,113.512421
108,38789,0.05,,400,10.8,9.8,1.840799,10000,prioritized,0.6,1.0,2.698163,46.457767,3.440894,-19.497898,36.080402,113.355995
109,39189,0.05,,400,4.8,8.2,1.512815,10000,prioritized,0.6,1.0,2.271119,46.987675,2.959088,-24.716957,35.544518,120.112892
110,39589,0.05,,400,7.8,5.8,1.61841,10000,prioritized,0.6,1.0,2.426726,47.337349,3.188537,-25.85817,40.16737,128.39389
111,39989,0.05,,400,6.8,7.6,1.788215,10000,prioritized,0.6,1.0,2.566984,49.988235,3.205521,-25.757397,39.190582,127.690559
112,40389,0.05,,400,4.6,11.4,1.771739,10000,prioritized,0.6,1.0,2.622407,49.988235,3.286917,-24.425791,39.807518,128.45755
113,40789,0.05,,400,5.8,4.4,1.91593,10000,prioritized,0.6,1.0,2.587716,50.504395,3.316119,-26.863003,42.997963,137.887009
114,41189,0.05,,400,4.0,7.6,1.850321,10000,prioritized,0.6,1.0,2.549019,51.688923,3.275649,-28.058552,41.357079,138.223328
115,41589,0.05,,400,9.4,6.0,2.046624,10000,prioritized,0.6,1.0,2.87165,53.033775,3.600619,-27.779743,45.537933,143.714127
