episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
50,14847,0.529845,,300,22.7,24.9,0.030295,14847,uniform,nan,nan,nan,nan,nan,0.007217,0.13213,1.048512
51,15147,0.520345,,300,24.5,25.5,0.053984,15147,uniform,nan,nan,nan,nan,nan,0.036315,0.18729,1.479035
52,15403,0.512238,-1,256,23.32,131.12,0.059398,15403,uniform,nan,nan,nan,nan,nan,0.037479,0.190406,1.762616
53,15682,0.503403,1,279,131.0,23.61,0.062018,15682,uniform,nan,nan,nan,nan,nan,0.040416,0.175585,1.988443
54,15982,0.493903,,300,25.1,26.3,0.064818,15982,uniform,nan,nan,nan,nan,nan,0.048511,0.163289,2.185793
55,16282,0.484403,,300,28.1,25.3,0.081743,16282,uniform,nan,nan,nan,nan,nan,0.02675,0.230352,2.194709
56,16582,0.474903,,300,23.7,25.7,0.05323,16582,uniform,nan,nan,nan,nan,nan,0.025756,0.167377,1.785777
57,16882,0.465403,,300,22.9,20.5,0.038409,16882,uniform,nan,nan,nan,nan,nan,0.01766,0.136983,1.465911
58,17182,0.455903,,300,25.5,25.7,0.093368,17182,uniform,nan,nan,nan,nan,nan,0.07649,0.228971,2.505284
59,17433,0.447955,1,251,131.14,20.55,0.063132,17433,uniform,nan,nan,nan,nan,nan,0.041777,0.189485,1.914983
60,17663,0.440672,-1,230,23.65,131.25,0.055407,17663,uniform,nan,nan,nan,nan,nan,0.034009,0.163969,1.838743
61,17858,0.434497,1,195,131.42,28.63,0.051637,17858,uniform,nan,nan,nan,nan,nan,0.031557,0.153423,1.801766
62,18091,0.427118,1,233,131.23,26.44,0.068531,18091,uniform,nan,nan,nan,nan,nan,0.023499,0.196238,2.007424
63,18382,0.417903,1,291,130.94,26.15,0.074363,18382,uniform,nan,nan,nan,nan,nan,0.03902,0.203643,2.214338
64,18656,0.409227,-1,274,28.63,131.03,0.078122,18656,uniform,nan,nan,nan,nan,nan,0.052402,0.187697,2.43248
65,18893,0.401722,1,237,131.21,23.42,0.0681,18893,uniform,nan,nan,nan,nan,nan,0.050035,0.166163,2.29825
66,19142,0.393837,1,249,131.15,25.56,0.095446,19142,uniform,nan,nan,nan,nan,nan,0.078837,0.231952,2.554055
67,19397,0.385762,1,255,131.12,25.93,0.10514,19397,uniform,nan,nan,nan,nan,nan,0.08438,0.234279,2.827164
68,19535,0.381392,-1,138,27.31,131.71,0.134277,19535,uniform,nan,nan,nan,nan,nan,0.11294,0.24845,3.386392
69,19803,0.372905,-1,268,22.26,131.06,0.095183,19803,uniform,nan,nan,nan,nan,nan,0.076933,0.198537,2.784995
70,20025,0.365875,-1,222,25.69,131.29,0.133582,20025,uniform,nan,nan,nan,nan,nan,0.09916,0.244896,3.306791
71,20279,0.357832,-1,254,28.93,131.13,0.082435,20279,uniform,nan,nan,nan,nan,nan,0.042737,0.2188,2.372286
72,20510,0.350517,1,231,131.24,26.65,0.156435,20510,uniform,nan,nan,nan,nan,nan,0.128971,0.272614,3.696839
73,20691,0.344785,1,181,131.49,26.3,0.124251,20691,uniform,nan,nan,nan,nan,nan,0.098263,0.229802,3.26543
74,20915,0.337692,-1,224,23.48,131.28,0.150923,20915,uniform,nan,nan,nan,nan,nan,0.128476,0.25036,3.665515
75,21177,0.329395,-1,262,25.69,131.09,0.10913,21177,uniform,nan,nan,nan,nan,nan,0.089659,0.247048,2.814593
76,21477,0.319895,,300,28.7,28.7,0.167255,21477,uniform,nan,nan,nan,nan,nan,0.148558,0.289146,3.810604
77,21652,0.314353,1,175,131.52,28.73,0.117958,21652,uniform,nan,nan,nan,nan,nan,0.09717,0.227825,3.123307
78,21880,0.307133,-1,228,28.46,131.26,0.203571,21880,uniform,nan,nan,nan,nan,nan,0.179722,0.309886,4.26697
79,22070,0.301117,-1,190,29.05,131.45,0.142539,22070,uniform,nan,nan,nan,nan,nan,0.096218,0.275509,3.363996
80,22260,0.2951,-1,190,29.25,131.45,0.070089,22260,uniform,nan,nan,nan,nan,nan,0.02812,0.206396,2.048237
81,22437,0.289495,1,177,131.51,28.52,0.164417,22437,uniform,nan,nan,nan,nan,nan,0.133592,0.286342,3.769778
82,22598,0.284397,1,161,131.59,28.2,0.224221,22598,uniform,nan,nan,nan,nan,nan,0.196783,0.336212,4.534646
83,22755,0.279425,1,157,131.61,28.82,0.090019,22755,uniform,nan,nan,nan,nan,nan,0.064642,0.196141,2.673841
84,22959,0.272965,-1,204,25.98,131.38,0.232986,22959,uniform,nan,nan,nan,nan,nan,0.210023,0.334975,4.660434
85,23166,0.26641,1,207,131.36,28.97,0.191652,23166,uniform,nan,nan,nan,nan,nan,0.172593,0.339868,3.980981
86,23318,0.261597,-1,152,29.04,131.64,0.200545,23318,uniform,nan,nan,nan,nan,nan,0.177155,0.330306,4.183469
87,23595,0.252825,1,277,131.01,28.22,0.139815,23595,uniform,nan,nan,nan,nan,nan,0.118547,0.257751,3.439794
88,23789,0.246682,-1,194,26.83,131.43,0.138862,23789,uniform,nan,nan,nan,nan,nan,0.119568,0.248614,3.447638
89,23970,0.24095,1,181,131.49,26.5,0.164359,23970,uniform,nan,nan,nan,nan,nan,0.143965,0.269326,3.814166
90,24167,0.234712,1,197,131.41,26.42,0.206577,24167,uniform,nan,nan,nan,nan,nan,0.150495,0.354146,4.182089
91,24275,0.231292,-1,108,25.66,131.86,0.229494,24275,uniform,nan,nan,nan,nan,nan,0.193153,0.360606,4.54351
92,24401,0.227302,-1,126,26.17,131.77,0.149539,24401,uniform,nan,nan,nan,nan,nan,0.11434,0.273433,3.535918
93,24572,0.221887,1,171,131.54,29.15,0.167131,24572,uniform,nan,nan,nan,nan,nan,0.139603,0.282217,3.837972
94,24720,0.2172,-1,148,27.06,131.66,0.269453,24720,uniform,nan,nan,nan,nan,nan,0.244823,0.378508,4.998712
95,24901,0.211468,1,181,131.49,29.3,0.181594,24901,uniform,nan,nan,nan,nan,nan,0.158267,0.285849,4.04012
96,25095,0.205325,-1,194,29.03,131.43,0.247704,25095,uniform,nan,nan,nan,nan,nan,0.227063,0.38682,4.652951
97,25268,0.199847,1,173,131.53,26.14,0.10435,25268,uniform,nan,nan,nan,nan,nan,0.085869,0.238977,2.808499
98,25480,0.193133,-1,212,26.14,131.34,0.220276,25480,uniform,nan,nan,nan,nan,nan,0.197294,0.340686,4.438474
99,25622,0.188637,-1,142,29.29,131.69,0.238274,25622,uniform,nan,nan,nan,nan,nan,0.2177,0.352718,4.655675
100,25769,0.183982,1,147,131.66,28.67,0.219776,25769,uniform,nan,nan,nan,nan,nan,0.20092,0.329804,4.482541
101,25897,0.179928,-1,128,28.56,131.76,0.232617,25897,uniform,nan,nan,nan,nan,nan,0.214658,0.338195,4.616521
102,26038,0.175463,1,141,131.69,26.3,0.124106,26038,uniform,nan,nan,nan,nan,nan,0.077652,0.251553,3.102441
103,26195,0.170492,1,157,131.61,29.42,0.196305,26195,uniform,nan,nan,nan,nan,nan,0.156188,0.334097,4.108892
104,26414,0.163557,1,219,131.3,28.31,0.192737,26414,uniform,nan,nan,nan,nan,nan,0.1603,0.316075,4.106965
105,26520,0.1602,-1,106,23.47,131.87,0.19564,26520,uniform,nan,nan,nan,nan,nan,0.170841,0.310304,4.211186
106,26687,0.154912,1,167,131.56,29.37,0.195253,26687,uniform,nan,nan,nan,nan,nan,0.169777,0.305498,4.187854
107,26864,0.149307,1,177,131.51,28.72,0.184307,26864,uniform,nan,nan,nan,nan,nan,0.159451,0.288936,4.072419
108,26990,0.145317,-1,126,25.77,131.77,0.139482,26990,uniform,nan,nan,nan,nan,nan,0.119738,0.24057,3.515727
109,27118,0.141263,-1,128,26.36,131.76,0.228755,27118,uniform,nan,nan,nan,nan,nan,0.211553,0.383468,4.385354
110,27272,0.136387,-1,154,29.03,131.63,0.267831,27272,uniform,nan,nan,nan,nan,nan,0.241669,0.397274,4.90475
111,27432,0.13132,-1,160,29.4,131.6,0.204644,27432,uniform,nan,nan,nan,nan,nan,0.184517,0.323877,4.286092
112,27620,0.125367,-1,188,26.06,131.46,0.142586,27620,uniform,nan,nan,nan,nan,nan,0.124941,0.255074,3.530161
113,27754,0.121123,-1,134,25.93,131.73,0.19178,27754,uniform,nan,nan,nan,nan,nan,0.173182,0.300421,4.15701
114,27874,0.117323,-1,120,28.8,131.8,0.17365,27874,uniform,nan,nan,nan,nan,nan,0.150557,0.275219,3.936406
115,27989,0.113682,1,115,131.82,29.23,0.22851,27989,uniform,nan,nan,nan,nan,nan,0.210062,0.329607,4.5709
116,28134,0.10909,1,145,131.67,29.48,0.204511,28134,uniform,nan,nan,nan,nan,nan,0.148037,0.3564,4.13725
117,28249,0.105448,1,115,131.82,26.23,0.321047,28249,uniform,nan,nan,nan,nan,nan,0.287241,0.452689,5.440358
118,28397,0.100762,-1,148,27.06,131.66,0.224366,28397,uniform,nan,nan,nan,nan,nan,0.186641,0.349753,4.443043
119,28561,0.095568,-1,164,28.58,131.58,0.285099,28561,uniform,nan,nan,nan,nan,nan,0.259199,0.403764,5.135914
120,28700,0.091167,1,139,131.7,26.11,0.338399,28700,uniform,nan,nan,nan,nan,nan,0.314271,0.450987,5.629943
121,28860,0.0861,-1,160,24.4,131.6,0.174181,28860,uniform,nan,nan,nan,nan,nan,0.150549,0.283608,3.955714
122,29017,0.081128,1,157,131.61,28.42,0.318832,29017,uniform,nan,nan,nan,nan,nan,0.301452,0.437979,5.418148
123,29230,0.074383,1,213,131.33,24.74,0.296121,29230,uniform,nan,nan,nan,nan,nan,0.265084,0.437455,5.12911
124,29362,0.070203,-1,132,28.74,131.74,0.24494,29362,uniform,nan,nan,nan,nan,nan,0.224959,0.372364,4.683049
125,29489,0.066182,1,127,131.76,28.97,0.287904,29489,uniform,nan,nan,nan,nan,nan,0.262461,0.409546,5.118731
126,29603,0.062572,-1,114,27.23,131.83,0.238992,29603,uniform,nan,nan,nan,nan,nan,0.215159,0.356043,4.64957
127,29776,0.057093,1,173,131.53,24.54,0.295066,29776,uniform,nan,nan,nan,nan,nan,0.274882,0.407637,5.221447
128,29898,0.05323,-1,122,28.79,131.79,0.139112,29898,uniform,nan,nan,nan,nan,nan,0.115991,0.245564,3.376199
129,30018,0.05,-1,120,29.2,131.8,0.244018,30018,uniform,nan,nan,nan,nan,nan,0.200676,0.369017,4.636529
130,30188,0.05,-1,170,28.75,131.55,0.327167,30188,uniform,nan,nan,nan,nan,nan,0.284238,0.472808,5.423442
131,30316,0.05,-1,128,28.76,131.76,0.31349,30316,uniform,nan,nan,nan,nan,nan,0.277097,0.443771,5.335116
132,30425,0.05,1,109,131.85,29.66,0.226737,30425,uniform,nan,nan,nan,nan,nan,0.188144,0.352531,4.475891
133,30523,0.05,-1,98,29.31,131.91,0.194248,30523,uniform,nan,nan,nan,nan,nan,0.162665,0.313477,4.09008
134,30613,0.05,-1,90,27.55,131.95,0.281007,30613,uniform,nan,nan,nan,nan,nan,0.24675,0.399106,5.03616
135,30812,0.05,1,199,131.4,28.81,0.341079,30812,uniform,nan,nan,nan,nan,nan,0.31068,0.456522,5.626756
136,31000,0.05,-1,188,29.26,131.46,0.327374,31000,uniform,nan,nan,nan,nan,nan,0.294445,0.441061,5.480056
137,31101,0.05,1,101,131.89,29.5,0.257106,31101,uniform,nan,nan,nan,nan,nan,0.224775,0.42428,4.568045
138,31206,0.05,1,105,131.87,29.28,0.238445,31206,uniform,nan,nan,nan,nan,nan,0.201445,0.38292,4.485345
139,31313,0.05,1,107,131.86,27.47,0.217507,31313,uniform,nan,nan,nan,nan,nan,0.184616,0.353796,4.281379
140,31449,0.05,-1,136,29.52,131.72,0.266274,31449,uniform,nan,nan,nan,nan,nan,0.237006,0.395397,4.884434
