episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,300,0.9905,,300,7.7,12.7,2.054397,300,prioritized,0.6,0.404,0.972612,4.736215,0.877698,-4.201833,5.193519,5.007758
2,600,0.981,,300,7.9,11.5,0.6356,600,prioritized,0.6,0.408,0.864609,6.183969,0.79704,-0.623346,2.452117,3.264769
3,900,0.9715,,300,7.7,3.7,0.630729,900,prioritized,0.6,0.412,0.887445,6.702286,0.79328,-0.453745,2.445383,3.276455
4,1200,0.962,,300,7.1,6.3,1.18692,1200,prioritized,0.6,0.416,1.474876,6.702286,1.077576,0.402869,3.690641,4.556312
5,1500,0.9525,,300,7.5,14.7,1.190199,1500,prioritized,0.6,0.42,1.32945,6.702286,1.017862,0.09096,3.848418,4.660484
6,1800,0.943,,300,8.9,13.7,1.015412,1800,prioritized,0.6,0.424,1.099953,4.789041,0.912279,-0.162166,3.423121,4.350526
7,2100,0.9335,,300,10.7,12.5,0.791198,2100,prioritized,0.6,0.428,0.997367,6.702286,0.755925,-0.248768,2.859666,3.717114
8,2400,0.924,,300,5.9,9.1,0.490728,2400,prioritized,0.6,0.432,0.834694,6.702286,0.646039,-0.334021,1.804737,2.235293
9,2700,0.9145,,300,15.1,14.5,0.364132,2700,prioritized,0.6,0.436,0.75089,6.702286,0.576864,-0.179102,1.501122,1.912175
10,3000,0.905,,300,12.1,14.3,0.278997,3000,prioritized,0.6,0.44,0.660457,6.702286,0.532529,-0.091276,1.246481,1.619865
11,3300,0.8955,,300,13.5,10.9,0.29741,3300,prioritized,0.6,0.444,0.71094,6.702286,0.492185,0.202483,1.252038,1.536633
12,3600,0.886,,300,16.9,18.7,0.204629,3600,prioritized,0.6,0.448,0.634317,6.702286,0.439234,0.039743,0.974164,1.20338
13,3900,0.8765,,300,10.1,11.7,0.149846,3900,prioritized,0.6,0.452,0.562874,6.702286,0.431025,0.00646,0.800883,1.012379
14,4200,0.867,,300,6.3,6.5,0.162235,4200,prioritized,0.6,0.456,0.543946,6.702286,0.405354,-0.189691,0.810512,1.010334
15,4500,0.8575,,300,12.9,16.9,0.088432,4500,prioritized,0.6,0.46,0.4749,6.702286,0.32756,-0.04653,0.595981,0.735614
16,4800,0.848,,300,18.5,15.9,0.061085,4800,prioritized,0.6,0.464,0.434828,6.702286,0.335166,-0.016402,0.488756,0.604679
17,5100,0.8385,,300,10.9,17.5,0.072874,5100,prioritized,0.6,0.468,0.489141,6.702286,0.394555,0.090239,0.514918,0.647318
18,5400,0.829,,300,18.7,16.1,0.075151,5400,prioritized,0.6,0.472,0.457645,6.702286,0.332764,0.092202,0.551363,0.656796
19,5700,0.8195,,300,18.1,12.5,0.049568,5700,prioritized,0.6,0.476,0.416545,6.702286,0.305419,0.036347,0.450013,0.54433
20,6000,0.81,,300,15.9,19.9,0.037953,6000,prioritized,0.6,0.48,0.37932,6.702286,0.276568,0.014095,0.39343,0.496183
21,6300,0.8005,,300,13.3,12.9,0.050884,6300,prioritized,0.6,0.484,0.36763,6.702286,0.287489,-0.085926,0.434818,0.551675
22,6600,0.791,,300,15.5,20.5,0.027474,6600,prioritized,0.6,0.488,0.332177,6.702286,0.258008,-0.021078,0.330669,0.432148
23,6900,0.7815,,300,16.9,16.9,0.020725,6900,prioritized,0.6,0.492,0.301018,6.702286,0.26605,-0.011812,0.288028,0.38929
24,7200,0.772,,300,16.9,17.9,0.035155,7200,prioritized,0.6,0.496,0.337785,6.702286,0.284565,0.044082,0.362983,0.494145
25,7500,0.7625,,300,20.3,20.5,0.026548,7500,prioritized,0.6,0.5,0.315475,6.702286,0.265183,0.020695,0.334491,0.437001
26,7800,0.753,,300,16.9,17.9,0.020421,7800,prioritized,0.6,0.504,0.2883,6.702286,0.26041,0.010439,0.29222,0.397875
