replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,57,16971,0.462585,1.0,259,131.1,28.91,0.042622,16971,,,,,,0.020751,0.139637,1.594
uniform,1,58,17237,0.454162,-1.0,266,25.67,131.07,0.0653,17237,,,,,,0.048695,0.214568,1.75187
uniform,1,59,17537,0.444662,,300,22.7,28.5,0.064818,17537,,,,,,0.04757,0.185612,2.049266
uniform,1,60,17810,0.436017,1.0,273,131.03,26.24,0.046811,17810,,,,,,0.029603,0.150102,1.696192
uniform,1,61,18084,0.42734,-1.0,274,26.43,131.03,0.067265,18084,,,,,,0.027074,0.191433,2.03649
uniform,1,62,18366,0.41841,-1.0,282,28.59,130.99,0.053951,18366,,,,,,0.017689,0.18543,1.702928
uniform,1,63,18550,0.412583,-1.0,184,24.28,131.48,0.046445,18550,,,,,,0.021262,0.159473,1.636501
uniform,1,64,18769,0.405648,1.0,219,131.3,28.31,0.06149,18769,,,,,,0.038688,0.165398,2.100618
uniform,1,65,19049,0.396782,-1.0,280,28.4,131.0,0.065499,19049,,,,,,0.049922,0.183165,2.022919
uniform,1,66,19338,0.38763,1.0,289,130.95,27.96,0.053173,19338,,,,,,0.035097,0.188749,1.653447
uniform,1,67,19638,0.37813,,300,25.9,28.7,0.077349,19638,,,,,,0.061034,0.190489,2.408843
uniform,1,68,19859,0.371132,1.0,221,131.29,22.3,0.101586,19859,,,,,,0.08662,0.203664,2.924402
uniform,1,69,20066,0.364577,1.0,207,131.36,26.57,0.104602,20066,,,,,,0.058186,0.232956,2.764739
uniform,1,70,20304,0.35704,-1.0,238,26.41,131.21,0.079468,20304,,,,,,0.042112,0.215383,2.31358
uniform,1,71,20485,0.351308,1.0,181,131.49,26.5,0.072755,20485,,,,,,0.047105,0.190411,2.309654
uniform,1,72,20720,0.343867,1.0,235,131.22,29.03,0.085785,20720,,,,,,0.062766,0.193882,2.621833
uniform,1,73,20918,0.337597,-1.0,198,19.81,131.41,0.087477,20918,,,,,,0.068096,0.189122,2.681343
uniform,1,74,21112,0.331453,-1.0,194,28.43,131.43,0.146955,21112,,,,,,0.132931,0.291065,3.392411
uniform,1,75,21276,0.32626,-1.0,164,23.78,131.58,0.065521,21276,,,,,,0.0458,0.200537,1.968148
uniform,1,76,21446,0.320877,-1.0,170,28.55,131.55,0.113037,21446,,,,,,0.096285,0.234713,3.040645
uniform,1,77,21595,0.316158,1.0,149,131.65,29.06,0.103901,21595,,,,,,0.087413,0.215765,2.927371
uniform,1,78,21755,0.311092,-1.0,160,27.0,131.6,0.10621,21755,,,,,,0.090083,0.213737,2.969833
uniform,1,79,21927,0.305645,-1.0,172,24.74,131.54,0.134674,21927,,,,,,0.119261,0.236767,3.459559
uniform,1,80,22132,0.299153,1.0,205,131.37,25.98,0.127406,22132,,,,,,0.068293,0.276353,3.053723
uniform,1,81,22322,0.293137,-1.0,190,25.65,131.45,0.149033,22322,,,,,,0.116982,0.281901,3.572163
uniform,1,82,22529,0.286582,1.0,207,131.36,28.37,0.211329,22529,,,,,,0.182134,0.329633,4.390657
uniform,1,83,22735,0.280058,-1.0,206,29.17,131.37,0.103839,22735,,,,,,0.079021,0.214115,2.932671
uniform,1,84,22904,0.274707,1.0,169,131.55,22.96,0.157383,22904,,,,,,0.13406,0.260544,3.769868
uniform,1,85,23077,0.269228,1.0,173,131.53,28.74,0.22397,23077,,,,,,0.206902,0.365742,4.384414
uniform,1,86,23287,0.262578,-1.0,210,29.15,131.35,0.205877,23287,,,,,,0.185098,0.345255,4.232992
uniform,1,87,23440,0.257733,1.0,153,131.63,26.84,0.157168,23440,,,,,,0.139473,0.284915,3.664446
uniform,1,88,23612,0.252287,-1.0,172,29.34,131.54,0.120973,23612,,,,,,0.100656,0.23985,3.171911
uniform,1,89,23756,0.247727,-1.0,144,28.88,131.68,0.13714,23756,,,,,,0.120357,0.247698,3.454376
uniform,1,90,23980,0.240633,-1.0,224,29.08,131.28,0.238296,23980,,,,,,0.221099,0.34369,4.700547
uniform,1,91,24207,0.233445,1.0,227,131.26,21.67,0.17979,24207,,,,,,0.12249,0.333856,3.833627
uniform,1,92,24360,0.2286,1.0,153,131.63,25.84,0.249088,24360,,,,,,0.215801,0.377324,4.776757
uniform,1,93,24539,0.222932,1.0,179,131.5,26.71,0.161679,24539,,,,,,0.132514,0.281025,3.768185
