episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,300,0.9905,,300,5.7,12.9,2.354229,300,uniform,nan,nan,nan,nan,nan,-1.656396,2.716823,4.18819
2,600,0.981,,300,6.1,12.7,1.150159,600,uniform,nan,nan,nan,nan,nan,-0.213969,1.48798,2.565898
3,900,0.9715,,300,11.3,14.9,0.893826,900,uniform,nan,nan,nan,nan,nan,-0.166555,1.22035,2.116494
4,1200,0.962,,300,2.3,2.9,2.189053,1200,uniform,nan,nan,nan,nan,nan,0.15192,2.598952,3.703315
5,1500,0.9525,,300,4.1,6.1,2.012102,1500,uniform,nan,nan,nan,nan,nan,0.275329,2.408785,3.555511
6,1800,0.943,,300,7.5,11.5,1.701018,1800,uniform,nan,nan,nan,nan,nan,0.145525,2.076979,3.272564
7,2100,0.9335,,300,7.9,7.5,1.409849,2100,uniform,nan,nan,nan,nan,nan,-0.092559,1.790391,2.768258
8,2400,0.924,,300,6.5,9.5,0.636773,2400,uniform,nan,nan,nan,nan,nan,-0.158965,0.992815,1.446008
9,2700,0.9145,,300,16.5,5.9,0.466752,2700,uniform,nan,nan,nan,nan,nan,-0.060819,0.78771,1.204235
10,3000,0.905,,300,14.3,6.7,0.390055,3000,uniform,nan,nan,nan,nan,nan,-0.040707,0.688733,1.091123
11,3300,0.8955,,300,7.7,13.3,0.526962,3300,uniform,nan,nan,nan,nan,nan,0.200888,0.898872,1.193329
12,3600,0.886,,300,8.3,10.7,0.275502,3600,uniform,nan,nan,nan,nan,nan,0.016106,0.582901,0.820414
13,3900,0.8765,,300,9.3,9.3,0.202782,3900,uniform,nan,nan,nan,nan,nan,-0.006633,0.470347,0.704064
14,4200,0.867,,300,11.7,23.5,0.276135,4200,uniform,nan,nan,nan,nan,nan,-0.112539,0.578228,0.816479
15,4500,0.8575,,300,12.9,11.7,0.132746,4500,uniform,nan,nan,nan,nan,nan,-0.012186,0.393223,0.530062
16,4800,0.848,,300,11.5,12.7,0.086716,4800,uniform,nan,nan,nan,nan,nan,-0.007563,0.309072,0.423149
17,5100,0.8385,,300,11.7,5.9,0.162791,5100,uniform,nan,nan,nan,nan,nan,0.084359,0.413891,0.601798
18,5400,0.829,,300,10.1,19.7,0.160734,5400,uniform,nan,nan,nan,nan,nan,0.038667,0.434936,0.592863
19,5700,0.8195,,300,13.9,12.7,0.109006,5700,uniform,nan,nan,nan,nan,nan,0.006971,0.338452,0.491913
20,6000,0.81,,300,17.7,18.7,0.087611,6000,uniform,nan,nan,nan,nan,nan,0.002962,0.290352,0.43934
21,6300,0.8005,,300,6.3,16.5,0.131794,6300,uniform,nan,nan,nan,nan,nan,-0.066863,0.379411,0.532061
22,6600,0.791,,300,13.9,14.5,0.057906,6600,uniform,nan,nan,nan,nan,nan,-0.005414,0.244419,0.349537
23,6900,0.7815,,300,10.7,12.9,0.042691,6900,uniform,nan,nan,nan,nan,nan,-0.003155,0.199402,0.300709
24,7200,0.772,,300,17.7,16.9,0.114666,7200,uniform,nan,nan,nan,nan,nan,0.049879,0.339212,0.500102
25,7500,0.7625,,300,19.5,22.7,0.078495,7500,uniform,nan,nan,nan,nan,nan,0.008848,0.281105,0.40979
26,7800,0.753,,300,25.5,20.7,0.056935,7800,uniform,nan,nan,nan,nan,nan,0.001737,0.226814,0.349789
27,8100,0.7435,,300,15.7,20.1,0.079494,8100,uniform,nan,nan,nan,nan,nan,-0.035122,0.267177,0.412474
28,8400,0.734,,300,19.1,19.7,0.05911,8400,uniform,nan,nan,nan,nan,nan,-0.013853,0.243831,0.353908
29,8700,0.7245,,300,20.1,14.3,0.039752,8700,uniform,nan,nan,nan,nan,nan,-0.006417,0.184833,0.297018
30,9000,0.715,,300,14.5,19.1,0.030628,9000,uniform,nan,nan,nan,nan,nan,-0.005663,0.154894,0.264594
31,9300,0.7055,,300,17.9,16.1,0.081864,9300,uniform,nan,nan,nan,nan,nan,0.039145,0.287631,0.416702
32,9600,0.696,,300,20.7,21.3,0.042764,9600,uniform,nan,nan,nan,nan,nan,0.00437,0.195015,0.30222
33,9900,0.6865,,300,25.7,19.9,0.032407,9900,uniform,nan,nan,nan,nan,nan,0.002416,0.160687,0.263841
34,10200,0.677,,300,25.1,23.5,0.060674,10200,uniform,nan,nan,nan,nan,nan,-0.034547,0.234679,0.356315
35,10500,0.6675,,300,19.7,19.9,0.036379,10500,uniform,nan,nan,nan,nan,nan,-0.009001,0.177565,0.282891
36,10800,0.658,,300,20.5,17.1,0.0279,10800,uniform,nan,nan,nan,nan,nan,-0.007358,0.142875,0.252029
37,11100,0.6485,,300,28.3,24.5,0.047645,11100,uniform,nan,nan,nan,nan,nan,0.021545,0.192938,0.317988
38,11400,0.639,,300,22.7,23.5,0.047219,11400,uniform,nan,nan,nan,nan,nan,0.005793,0.205977,0.31634
39,11700,0.6295,,300,16.5,19.7,0.031153,11700,uniform,nan,nan,nan,nan,nan,0.004099,0.161106,0.253669
40,12000,0.62,,300,19.3,25.9,0.024537,12000,uniform,nan,nan,nan,nan,nan,0.001936,0.135152,0.228858
41,12283,0.611038,1,283,130.98,19.39,0.05627,12283,uniform,nan,nan,nan,nan,nan,-0.032166,0.235065,0.341534
42,12583,0.601538,,300,16.7,15.3,0.033439,12583,uniform,nan,nan,nan,nan,nan,-0.000161,0.162132,0.786759
43,12883,0.592038,,300,24.5,14.9,0.027772,12883,uniform,nan,nan,nan,nan,nan,0.001326,0.136376,0.778911
44,13183,0.582538,,300,20.3,21.3,0.062085,13183,uniform,nan,nan,nan,nan,nan,0.038973,0.216726,1.325206
45,13483,0.573038,,300,25.5,23.1,0.038986,13483,uniform,nan,nan,nan,nan,nan,0.009713,0.177665,0.788101
46,13783,0.563538,,300,15.5,21.1,0.031978,13783,uniform,nan,nan,nan,nan,nan,0.006416,0.148173,0.778591
47,14083,0.554038,,300,12.9,26.3,0.035481,14083,uniform,nan,nan,nan,nan,nan,-0.018332,0.168792,0.271289
48,14383,0.544538,,300,17.5,24.7,0.03108,14383,uniform,nan,nan,nan,nan,nan,-0.009902,0.171968,0.253763
49,14683,0.535038,,300,28.7,20.5,0.022858,14683,uniform,nan,nan,nan,nan,nan,-0.006354,0.13672,0.224595
50,14959,0.526298,-1,276,26.02,131.02,0.02509,14959,uniform,nan,nan,nan,nan,nan,0.00169,0.124005,0.802244
51,15259,0.516798,,300,23.3,28.1,0.072831,15259,uniform,nan,nan,nan,nan,nan,0.054997,0.229574,1.821908
52,15559,0.507298,,300,21.9,24.9,0.041219,15559,uniform,nan,nan,nan,nan,nan,0.020839,0.165067,1.283596
53,15859,0.497798,,300,26.3,22.7,0.031075,15859,uniform,nan,nan,nan,nan,nan,0.012077,0.137647,1.049104
54,16159,0.488298,,300,28.5,21.3,0.039156,16159,uniform,nan,nan,nan,nan,nan,-0.013378,0.176994,0.782459
55,16459,0.478798,,300,24.1,22.9,0.036784,16459,uniform,nan,nan,nan,nan,nan,0.002099,0.162209,1.066025
56,16759,0.469298,,300,19.9,22.9,0.046256,16759,uniform,nan,nan,nan,nan,nan,0.021295,0.151486,1.651069
57,16998,0.46173,1,239,131.2,25.81,0.031385,16998,uniform,nan,nan,nan,nan,nan,0.009457,0.127058,1.174299
58,17255,0.453592,1,257,131.11,20.12,0.050077,17255,uniform,nan,nan,nan,nan,nan,0.033013,0.207335,1.137145
