episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,400,0.905,,400,11.4,11.0,0.03087,400,prioritized,0.6,0.44,0.11746,1.776805,0.119996,0.025041,0.27352,0.58742
2,800,0.81,,400,12.6,14.6,0.063377,800,prioritized,0.6,0.48,0.350199,2.356108,0.277716,0.132617,0.535316,0.690982
3,1200,0.715,,400,13.6,15.6,0.052818,1200,prioritized,0.6,0.52,0.325515,3.333686,0.278867,0.082906,0.481533,0.676862
4,1600,0.62,,400,15.8,16.8,0.053615,1600,prioritized,0.6,0.56,0.347469,3.677978,0.273266,0.068451,0.517428,0.752771
5,2000,0.525,,400,21.8,19.2,0.051052,2000,prioritized,0.6,0.6,0.349773,4.026859,0.321559,0.04197,0.519483,0.792508
6,2400,0.43,,400,20.0,22.2,0.055658,2400,prioritized,0.6,0.64,0.377002,4.498202,0.333863,0.007903,0.584652,0.943268
7,2789,0.337612,1,389,130.45,25.66,0.053034,2789,prioritized,0.6,0.6789,0.38993,4.603681,0.350198,-0.024172,0.617554,1.020686
8,3189,0.242613,,400,28.2,24.8,0.100107,3189,prioritized,0.6,0.7189,0.44584,15.320203,0.531895,1.09026,1.785276,9.430459
9,3438,0.183475,1,249,131.15,28.56,0.093555,3438,prioritized,0.6,0.7438,0.463307,15.320203,0.574897,0.749686,1.591591,8.609882
10,3674,0.127425,-1,236,26.62,131.22,0.093546,3674,prioritized,0.6,0.7674,0.475543,15.320203,0.615401,1.678814,2.457435,12.574778
11,3920,0.069,-1,246,26.17,131.17,0.090145,3920,prioritized,0.6,0.792,0.4435,15.320203,0.67112,2.324367,3.080522,14.780542
12,4118,0.05,-1,198,29.01,131.41,0.099774,4118,prioritized,0.6,0.8118,0.455569,15.320203,0.66177,2.870986,3.640115,16.275763
13,4343,0.05,1,225,131.27,28.28,0.090386,4343,prioritized,0.6,0.8343,0.432778,15.320203,0.643571,3.666006,4.346308,18.222578
14,4743,0.05,,400,28.0,28.0,0.092577,4743,prioritized,0.6,0.8743,0.458757,15.320203,0.736237,3.725431,4.484615,18.261593
15,5027,0.05,-1,284,26.18,130.98,0.076334,5027,prioritized,0.6,0.9027,0.442735,15.320203,0.713555,3.3718,4.171847,17.522884
16,5260,0.05,1,233,131.23,28.64,0.072867,5260,prioritized,0.6,0.926,0.438377,15.320203,0.701037,4.395206,5.159835,19.834332
17,5518,0.05,-1,258,28.51,131.11,0.068455,5518,prioritized,0.6,0.9518,0.420711,15.320203,0.709899,4.482965,5.294524,20.083353
