episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
49,13698,0.349345,1,195,131.42,28.83,0.115343,13698,uniform,nan,nan,nan,nan,nan,0.049225,0.297033,2.478073
50,13878,0.340795,-1,180,29.1,131.5,0.166812,13878,uniform,nan,nan,nan,nan,nan,0.108311,0.338726,3.46199
51,14178,0.326545,,300,25.7,25.7,0.384244,14178,uniform,nan,nan,nan,nan,nan,0.314936,0.632208,3.937335
52,14384,0.31676,-1,206,29.17,131.37,0.164117,14384,uniform,nan,nan,nan,nan,nan,0.073741,0.377401,2.764058
53,14565,0.308163,1,181,131.49,23.7,0.191897,14565,uniform,nan,nan,nan,nan,nan,0.11317,0.38368,3.474398
54,14738,0.299945,1,173,131.53,23.74,0.191225,14738,uniform,nan,nan,nan,nan,nan,0.118939,0.374582,3.53819
55,14911,0.291728,1,173,131.53,26.34,0.210943,14911,uniform,nan,nan,nan,nan,nan,0.144421,0.384534,3.89532
56,15075,0.283937,-1,164,28.78,131.58,0.411502,15075,uniform,nan,nan,nan,nan,nan,-0.172545,0.660561,3.268901
57,15261,0.275103,-1,186,27.07,131.47,0.236535,15261,uniform,nan,nan,nan,nan,nan,0.140719,0.453628,4.034798
58,15437,0.266742,-1,176,29.32,131.52,0.160668,15437,uniform,nan,nan,nan,nan,nan,0.087854,0.350519,3.237275
59,15606,0.258715,1,169,131.55,29.36,0.233897,15606,uniform,nan,nan,nan,nan,nan,0.170762,0.409344,4.330899
60,15779,0.250498,1,173,131.53,26.54,0.221028,15779,uniform,nan,nan,nan,nan,nan,0.169637,0.389231,4.276933
61,15972,0.24133,1,193,131.43,26.64,0.199757,15972,uniform,nan,nan,nan,nan,nan,0.154071,0.358619,4.06034
62,16133,0.233683,1,161,131.59,25.4,0.469556,16133,uniform,nan,nan,nan,nan,nan,0.410946,0.763462,3.539502
63,16282,0.226605,1,149,131.65,26.66,0.263635,16282,uniform,nan,nan,nan,nan,nan,0.181339,0.483485,4.201451
64,16472,0.21758,-1,190,26.85,131.45,0.250925,16472,uniform,nan,nan,nan,nan,nan,0.188941,0.441828,4.316713
65,16637,0.209743,1,165,131.57,26.78,0.169573,16637,uniform,nan,nan,nan,nan,nan,0.111201,0.34946,3.341264
66,16808,0.20162,1,171,131.54,28.95,0.166309,16808,uniform,nan,nan,nan,nan,nan,0.116632,0.332787,3.427826
67,16958,0.194495,-1,150,26.45,131.65,0.168845,16958,uniform,nan,nan,nan,nan,nan,0.121214,0.328301,3.504733
68,17174,0.184235,-1,216,28.52,131.32,0.465794,17174,uniform,nan,nan,nan,nan,nan,0.006703,0.713163,4.759733
69,17305,0.178013,1,131,131.74,29.15,0.291734,17305,uniform,nan,nan,nan,nan,nan,0.222486,0.485014,4.916546
70,17395,0.173737,-1,90,26.35,131.95,0.208923,17395,uniform,nan,nan,nan,nan,nan,0.15214,0.386519,4.055266
71,17519,0.167848,-1,124,25.98,131.78,0.241409,17519,uniform,nan,nan,nan,nan,nan,0.18845,0.418049,4.472683
72,17637,0.162243,-1,118,29.61,131.81,0.233077,17637,uniform,nan,nan,nan,nan,nan,0.183089,0.401351,4.43525
73,17733,0.157682,-1,96,23.92,131.92,0.288371,17733,uniform,nan,nan,nan,nan,nan,0.245388,0.447145,5.071939
74,17848,0.15222,1,115,131.82,24.23,0.234325,17848,uniform,nan,nan,nan,nan,nan,0.192375,0.392059,4.507253
75,17985,0.145713,1,137,131.71,25.52,0.307819,17985,uniform,nan,nan,nan,nan,nan,0.259933,0.458988,5.27821
76,18095,0.140487,-1,110,29.65,131.85,0.634277,18095,uniform,nan,nan,nan,nan,nan,0.621013,0.954488,4.229755
77,18228,0.13417,1,133,131.73,26.94,0.258508,18228,uniform,nan,nan,nan,nan,nan,0.178155,0.474552,4.178209
78,18347,0.128518,1,119,131.8,28.81,0.33526,18347,uniform,nan,nan,nan,nan,nan,0.27138,0.528366,5.191812
79,18447,0.123768,-1,100,26.3,131.9,0.260827,18447,uniform,nan,nan,nan,nan,nan,0.196811,0.441355,4.462349
80,18535,0.119588,-1,88,25.56,131.96,0.24736,18535,uniform,nan,nan,nan,nan,nan,0.18869,0.422265,4.378597
81,18680,0.1127,1,145,131.67,28.88,0.228704,18680,uniform,nan,nan,nan,nan,nan,0.177486,0.396421,4.228256
82,18793,0.107333,1,113,131.83,28.84,0.235521,18793,uniform,nan,nan,nan,nan,nan,0.18684,0.397475,4.34961
83,18908,0.10187,1,115,131.82,26.63,0.308968,18908,uniform,nan,nan,nan,nan,nan,0.26199,0.463936,5.136783
84,19047,0.095268,1,139,131.7,28.31,0.581826,19047,uniform,nan,nan,nan,nan,nan,-0.087212,0.81591,5.098437
85,19149,0.090423,-1,102,26.89,131.89,0.380974,19149,uniform,nan,nan,nan,nan,nan,0.290017,0.603913,5.559836
86,19268,0.08477,1,119,131.8,29.41,0.257288,19268,uniform,nan,nan,nan,nan,nan,0.191318,0.446547,4.574382
87,19397,0.078643,1,129,131.75,29.36,0.234285,19397,uniform,nan,nan,nan,nan,nan,0.178872,0.415045,4.377625
88,19498,0.073845,1,101,131.89,29.3,0.298823,19498,uniform,nan,nan,nan,nan,nan,0.243418,0.468829,5.127473
89,19638,0.067195,-1,140,28.9,131.7,0.360118,19638,uniform,nan,nan,nan,nan,nan,0.313649,0.522784,5.734417
90,19717,0.063443,1,79,132.0,26.81,0.401401,19717,uniform,nan,nan,nan,nan,nan,0.359576,0.559376,6.111885
91,19833,0.057933,-1,116,26.82,131.82,0.338062,19833,uniform,nan,nan,nan,nan,nan,0.296705,0.491368,5.590081
92,19942,0.052755,1,109,131.85,29.66,0.298514,19942,uniform,nan,nan,nan,nan,nan,0.256611,0.44747,5.212871
93,20051,0.05,1,109,131.85,27.46,0.781871,20051,uniform,nan,nan,nan,nan,nan,0.813609,1.051963,6.121225
94,20150,0.05,1,99,131.9,29.11,0.428938,20150,uniform,nan,nan,nan,nan,nan,0.322418,0.671168,5.699913
95,20266,0.05,-1,116,29.62,131.82,0.38128,20266,uniform,nan,nan,nan,nan,nan,0.316821,0.577521,5.631015
96,20363,0.05,1,97,131.91,29.72,0.375669,20363,uniform,nan,nan,nan,nan,nan,0.31474,0.561023,5.604773
