episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
25,7500,0.7625,,300,20.1,11.9,0.053372,7500,uniform,nan,nan,nan,nan,nan,0.012422,0.229823,0.335153
26,7800,0.753,,300,19.7,12.9,0.039464,7800,uniform,nan,nan,nan,nan,nan,0.004099,0.18645,0.289095
27,8100,0.7435,,300,17.9,16.3,0.053809,8100,uniform,nan,nan,nan,nan,nan,-0.027739,0.21816,0.337133
28,8400,0.734,,300,13.7,13.7,0.041573,8400,uniform,nan,nan,nan,nan,nan,-0.01196,0.199721,0.294246
29,8700,0.7245,,300,17.7,20.5,0.032062,8700,uniform,nan,nan,nan,nan,nan,-0.007275,0.160866,0.267242
30,9000,0.715,,300,14.5,13.7,0.026023,9000,uniform,nan,nan,nan,nan,nan,-0.004871,0.137879,0.243949
31,9300,0.7055,,300,15.5,15.7,0.058063,9300,uniform,nan,nan,nan,nan,nan,0.029605,0.242345,0.346199
32,9600,0.696,,300,20.9,17.5,0.032746,9600,uniform,nan,nan,nan,nan,nan,0.005565,0.169135,0.261035
33,9900,0.6865,,300,17.5,16.5,0.026674,9900,uniform,nan,nan,nan,nan,nan,0.001423,0.144145,0.239192
34,10200,0.677,,300,20.3,20.3,0.043564,10200,uniform,nan,nan,nan,nan,nan,-0.026208,0.19932,0.30308
35,10500,0.6675,,300,25.7,23.7,0.030425,10500,uniform,nan,nan,nan,nan,nan,-0.009004,0.160331,0.259885
36,10800,0.658,,300,25.7,18.7,0.023217,10800,uniform,nan,nan,nan,nan,nan,-0.003913,0.131589,0.223538
37,11100,0.6485,,300,19.7,21.1,0.035861,11100,uniform,nan,nan,nan,nan,nan,0.015766,0.170199,0.276356
38,11400,0.639,,300,13.7,22.9,0.036498,11400,uniform,nan,nan,nan,nan,nan,0.008289,0.178293,0.281588
39,11700,0.6295,,300,19.9,19.9,0.028632,11700,uniform,nan,nan,nan,nan,nan,0.002012,0.147606,0.249937
40,12000,0.62,,300,25.9,16.7,0.022199,12000,uniform,nan,nan,nan,nan,nan,-0.000242,0.126525,0.21826
41,12300,0.6105,,300,18.9,21.3,0.041457,12300,uniform,nan,nan,nan,nan,nan,-0.024127,0.200163,0.293109
42,12600,0.601,,300,22.5,21.7,0.024353,12600,uniform,nan,nan,nan,nan,nan,-0.005904,0.140902,0.227438
43,12900,0.5915,,300,19.9,19.5,0.020059,12900,uniform,nan,nan,nan,nan,nan,-0.004215,0.121119,0.210365
44,13200,0.582,,300,22.1,23.5,0.037887,13200,uniform,nan,nan,nan,nan,nan,0.020538,0.185201,0.280005
45,13500,0.5725,,300,24.3,26.5,0.026399,13500,uniform,nan,nan,nan,nan,nan,0.005385,0.153216,0.235637
46,13800,0.563,,300,18.9,20.5,0.020212,13800,uniform,nan,nan,nan,nan,nan,0.002893,0.125939,0.206958
47,14100,0.5535,,300,25.9,23.9,0.031451,14100,uniform,nan,nan,nan,nan,nan,-0.01637,0.159037,0.257034
48,14319,0.546565,1,219,131.3,24.71,0.027259,14319,uniform,nan,nan,nan,nan,nan,-0.009552,0.161638,0.235869
49,14619,0.537065,,300,25.3,20.1,0.031663,14619,uniform,nan,nan,nan,nan,nan,0.006197,0.144384,1.066108
50,14919,0.527565,,300,22.1,21.5,0.027388,14919,uniform,nan,nan,nan,nan,nan,0.007803,0.125203,1.057429
51,15219,0.518065,,300,22.9,28.3,0.052077,15219,uniform,nan,nan,nan,nan,nan,0.033685,0.197744,1.291353
52,15512,0.508787,1,293,130.93,24.14,0.030366,15512,uniform,nan,nan,nan,nan,nan,0.010726,0.153753,0.768988
53,15812,0.499287,,300,26.1,28.1,0.02525,15812,uniform,nan,nan,nan,nan,nan,0.007872,0.131632,0.769782
54,16112,0.489787,,300,26.3,26.5,0.045144,16112,uniform,nan,nan,nan,nan,nan,0.000557,0.172736,1.288952
55,16412,0.480287,,300,23.3,20.3,0.037122,16412,uniform,nan,nan,nan,nan,nan,0.001506,0.166513,1.076826
56,16712,0.470787,,300,21.1,28.7,0.03022,16712,uniform,nan,nan,nan,nan,nan,0.006094,0.136601,1.065632
57,16971,0.462585,1,259,131.1,28.91,0.042622,16971,uniform,nan,nan,nan,nan,nan,0.020751,0.139637,1.594
58,17237,0.454162,-1,266,25.67,131.07,0.0653,17237,uniform,nan,nan,nan,nan,nan,0.048695,0.214568,1.75187
59,17537,0.444662,,300,22.7,28.5,0.064818,17537,uniform,nan,nan,nan,nan,nan,0.04757,0.185612,2.049266
60,17810,0.436017,1,273,131.03,26.24,0.046811,17810,uniform,nan,nan,nan,nan,nan,0.029603,0.150102,1.696192
61,18084,0.42734,-1,274,26.43,131.03,0.067265,18084,uniform,nan,nan,nan,nan,nan,0.027074,0.191433,2.03649
62,18366,0.41841,-1,282,28.59,130.99,0.053951,18366,uniform,nan,nan,nan,nan,nan,0.017689,0.18543,1.702928
63,18550,0.412583,-1,184,24.28,131.48,0.046445,18550,uniform,nan,nan,nan,nan,nan,0.021262,0.159473,1.636501
64,18769,0.405648,1,219,131.3,28.31,0.06149,18769,uniform,nan,nan,nan,nan,nan,0.038688,0.165398,2.100618
65,19049,0.396782,-1,280,28.4,131.0,0.065499,19049,uniform,nan,nan,nan,nan,nan,0.049922,0.183165,2.022919
66,19338,0.38763,1,289,130.95,27.96,0.053173,19338,uniform,nan,nan,nan,nan,nan,0.035097,0.188749,1.653447
67,19638,0.37813,,300,25.9,28.7,0.077349,19638,uniform,nan,nan,nan,nan,nan,0.061034,0.190489,2.408843
68,19859,0.371132,1,221,131.29,22.3,0.101586,19859,uniform,nan,nan,nan,nan,nan,0.08662,0.203664,2.924402
69,20066,0.364577,1,207,131.36,26.57,0.104602,20066,uniform,nan,nan,nan,nan,nan,0.058186,0.232956,2.764739
70,20304,0.35704,-1,238,26.41,131.21,0.079468,20304,uniform,nan,nan,nan,nan,nan,0.042112,0.215383,2.31358
71,20485,0.351308,1,181,131.49,26.5,0.072755,20485,uniform,nan,nan,nan,nan,nan,0.047105,0.190411,2.309654
72,20720,0.343867,1,235,131.22,29.03,0.085785,20720,uniform,nan,nan,nan,nan,nan,0.062766,0.193882,2.621833
73,20918,0.337597,-1,198,19.81,131.41,0.087477,20918,uniform,nan,nan,nan,nan,nan,0.068096,0.189122,2.681343
74,21112,0.331453,-1,194,28.43,131.43,0.146955,21112,uniform,nan,nan,nan,nan,nan,0.132931,0.291065,3.392411
75,21276,0.32626,-1,164,23.78,131.58,0.065521,21276,uniform,nan,nan,nan,nan,nan,0.0458,0.200537,1.968148
76,21446,0.320877,-1,170,28.55,131.55,0.113037,21446,uniform,nan,nan,nan,nan,nan,0.096285,0.234713,3.040645
77,21595,0.316158,1,149,131.65,29.06,0.103901,21595,uniform,nan,nan,nan,nan,nan,0.087413,0.215765,2.927371
78,21755,0.311092,-1,160,27.0,131.6,0.10621,21755,uniform,nan,nan,nan,nan,nan,0.090083,0.213737,2.969833
79,21927,0.305645,-1,172,24.74,131.54,0.134674,21927,uniform,nan,nan,nan,nan,nan,0.119261,0.236767,3.459559
80,22132,0.299153,1,205,131.37,25.98,0.127406,22132,uniform,nan,nan,nan,nan,nan,0.068293,0.276353,3.053723
81,22322,0.293137,-1,190,25.65,131.45,0.149033,22322,uniform,nan,nan,nan,nan,nan,0.116982,0.281901,3.572163
82,22529,0.286582,1,207,131.36,28.37,0.211329,22529,uniform,nan,nan,nan,nan,nan,0.182134,0.329633,4.390657
83,22735,0.280058,-1,206,29.17,131.37,0.103839,22735,uniform,nan,nan,nan,nan,nan,0.079021,0.214115,2.932671
84,22904,0.274707,1,169,131.55,22.96,0.157383,22904,uniform,nan,nan,nan,nan,nan,0.13406,0.260544,3.769868
85,23077,0.269228,1,173,131.53,28.74,0.22397,23077,uniform,nan,nan,nan,nan,nan,0.206902,0.365742,4.384414
86,23287,0.262578,-1,210,29.15,131.35,0.205877,23287,uniform,nan,nan,nan,nan,nan,0.185098,0.345255,4.232992
87,23440,0.257733,1,153,131.63,26.84,0.157168,23440,uniform,nan,nan,nan,nan,nan,0.139473,0.284915,3.664446
88,23612,0.252287,-1,172,29.34,131.54,0.120973,23612,uniform,nan,nan,nan,nan,nan,0.100656,0.23985,3.171911
89,23756,0.247727,-1,144,28.88,131.68,0.13714,23756,uniform,nan,nan,nan,nan,nan,0.120357,0.247698,3.454376
