episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,400,0.905,,400,6.2,4.0,0.025918,400,uniform,nan,nan,nan,nan,nan,0.010062,0.083172,0.257335
2,800,0.81,,400,16.0,13.4,0.10736,800,uniform,nan,nan,nan,nan,nan,0.056695,0.306179,0.490602
3,1200,0.715,,400,18.8,10.2,0.1232,1200,uniform,nan,nan,nan,nan,nan,0.055624,0.338533,0.550943
4,1600,0.62,,400,22.0,18.6,0.136135,1600,uniform,nan,nan,nan,nan,nan,0.04423,0.366394,0.585656
5,2000,0.525,,400,17.2,25.0,0.144787,2000,uniform,nan,nan,nan,nan,nan,0.040804,0.38489,0.628648
6,2400,0.43,,400,20.0,20.8,0.159308,2400,uniform,nan,nan,nan,nan,nan,0.037284,0.412106,0.670526
7,2799,0.335238,1,399,130.4,28.21,0.182811,2799,uniform,nan,nan,nan,nan,nan,0.023358,0.45617,0.698854
8,3015,0.283937,-1,216,28.72,131.32,0.206967,3015,uniform,nan,nan,nan,nan,nan,0.03671,0.493449,1.546696
9,3408,0.1906,1,393,130.43,28.24,0.199654,3408,uniform,nan,nan,nan,nan,nan,0.05608,0.467501,2.003061
10,3666,0.129325,-1,258,28.91,131.11,0.248489,3666,uniform,nan,nan,nan,nan,nan,0.10044,0.522662,2.896922
11,3919,0.069238,1,253,131.13,28.74,0.265257,3919,uniform,nan,nan,nan,nan,nan,0.12316,0.538193,3.350457
12,4148,0.05,1,229,131.25,25.86,0.316166,4148,uniform,nan,nan,nan,nan,nan,0.170989,0.592469,3.897209
13,4437,0.05,1,289,130.95,28.56,0.328782,4437,uniform,nan,nan,nan,nan,nan,0.199974,0.593518,4.252437
14,4651,0.05,-1,214,28.93,131.33,0.323194,4651,uniform,nan,nan,nan,nan,nan,0.170174,0.602276,3.930699
15,4826,0.05,1,175,131.52,24.13,0.273933,4826,uniform,nan,nan,nan,nan,nan,0.117913,0.549318,3.228632
16,5011,0.05,1,185,131.47,26.68,0.340346,5011,uniform,nan,nan,nan,nan,nan,0.191988,0.615535,4.19662
17,5151,0.05,-1,140,27.1,131.7,0.317407,5151,uniform,nan,nan,nan,nan,nan,0.179386,0.576879,4.176644
18,5371,0.05,-1,220,26.3,131.3,0.34131,5371,uniform,nan,nan,nan,nan,nan,0.197413,0.617337,4.204733
19,5494,0.05,1,123,131.78,23.19,0.339826,5494,uniform,nan,nan,nan,nan,nan,0.214275,0.601555,4.413949
20,5673,0.05,1,179,131.5,26.51,0.310982,5673,uniform,nan,nan,nan,nan,nan,0.159865,0.579256,3.892668
21,5829,0.05,-1,156,26.42,131.62,0.328462,5829,uniform,nan,nan,nan,nan,nan,0.200862,0.585885,4.329941
22,6001,0.05,-1,172,29.14,131.54,0.336728,6001,uniform,nan,nan,nan,nan,nan,0.230807,0.58624,4.53188
23,6311,0.05,-1,310,28.65,130.85,0.427535,6311,uniform,nan,nan,nan,nan,nan,0.28175,0.692284,5.160046
24,6496,0.05,1,185,131.47,26.88,0.431762,6496,uniform,nan,nan,nan,nan,nan,0.278372,0.705468,5.031545
25,6641,0.05,1,145,131.67,26.88,0.437057,6641,uniform,nan,nan,nan,nan,nan,0.275461,0.711716,5.02621
26,6865,0.05,-1,224,29.08,131.28,0.437983,6865,uniform,nan,nan,nan,nan,nan,0.28637,0.714836,5.036411
27,7166,0.05,1,301,130.89,28.5,0.425659,7166,uniform,nan,nan,nan,nan,nan,0.291878,0.685599,5.161316
28,7393,0.05,1,227,131.26,26.67,0.515095,7393,uniform,nan,nan,nan,nan,nan,0.37238,0.779433,5.847788
29,7577,0.05,-1,184,26.68,131.48,0.414986,7577,uniform,nan,nan,nan,nan,nan,0.286286,0.670512,5.092081
30,7774,0.05,1,197,131.41,24.02,0.496279,7774,uniform,nan,nan,nan,nan,nan,0.345105,0.768483,5.503788
31,7957,0.05,1,183,131.48,25.89,0.37006,7957,uniform,nan,nan,nan,nan,nan,0.222469,0.632105,4.502661
32,8200,0.05,1,243,131.18,28.79,0.46352,8200,uniform,nan,nan,nan,nan,nan,0.312177,0.737359,5.205978
33,8368,0.05,-1,168,28.96,131.56,0.448894,8368,uniform,nan,nan,nan,nan,nan,0.308243,0.709849,5.277729
34,8502,0.05,-1,134,26.93,131.73,0.584413,8502,uniform,nan,nan,nan,nan,nan,0.381508,0.87934,5.809618
35,8713,0.05,1,211,131.34,28.95,0.549913,8713,uniform,nan,nan,nan,nan,nan,0.357653,0.834302,5.681834
36,8841,0.05,-1,128,26.76,131.76,0.447413,8841,uniform,nan,nan,nan,nan,nan,0.271806,0.732941,4.864046
37,9039,0.05,-1,198,26.41,131.41,0.573149,9039,uniform,nan,nan,nan,nan,nan,0.403307,0.84836,6.009783
38,9180,0.05,1,141,131.69,29.5,0.447279,9180,uniform,nan,nan,nan,nan,nan,0.297718,0.719025,5.099414
39,9424,0.05,-1,244,26.58,131.18,0.512516,9424,uniform,nan,nan,nan,nan,nan,0.34441,0.790825,5.536103
40,9686,0.05,-1,262,25.89,131.09,0.4228,9686,uniform,nan,nan,nan,nan,nan,0.252502,0.695861,4.782222
41,9950,0.05,-1,264,28.48,131.08,0.551517,9950,uniform,nan,nan,nan,nan,nan,0.361101,0.828632,5.754005
42,10350,0.05,,400,27.8,22.6,0.552465,10000,uniform,nan,nan,nan,nan,nan,0.358611,0.837867,5.612862
43,10531,0.05,1,181,131.49,26.5,0.404132,10000,uniform,nan,nan,nan,nan,nan,0.203691,0.687611,4.314784
44,10768,0.05,1,237,131.21,24.42,0.414417,10000,uniform,nan,nan,nan,nan,nan,0.250046,0.685844,4.671265
45,10991,0.05,1,223,131.28,29.09,0.539884,10000,uniform,nan,nan,nan,nan,nan,0.359517,0.823399,5.615885
46,11363,0.05,-1,372,26.14,130.54,0.495475,10000,uniform,nan,nan,nan,nan,nan,0.311432,0.775383,5.244532
47,11763,0.05,,400,23.2,22.6,0.591199,10000,uniform,nan,nan,nan,nan,nan,0.414147,0.873808,5.957675
48,12163,0.05,,400,27.8,23.4,0.518589,10000,uniform,nan,nan,nan,nan,nan,0.352967,0.797441,5.400088
49,12563,0.05,,400,20.4,18.0,0.556751,10000,uniform,nan,nan,nan,nan,nan,0.372372,0.838386,5.65761
50,12796,0.05,1,233,131.23,26.44,0.526144,10000,uniform,nan,nan,nan,nan,nan,0.361377,0.797721,5.677521
51,13196,0.05,,400,23.0,17.4,0.476926,10000,uniform,nan,nan,nan,nan,nan,0.294394,0.758913,5.041978
52,13596,0.05,,400,22.6,22.8,0.539047,10000,uniform,nan,nan,nan,nan,nan,0.360938,0.817891,5.607684
53,13996,0.05,,400,18.6,18.2,0.553487,10000,uniform,nan,nan,nan,nan,nan,0.353049,0.838507,5.541049
54,14396,0.05,,400,15.0,15.2,0.589482,10000,uniform,nan,nan,nan,nan,nan,0.363626,0.884687,5.60596
55,14796,0.05,,400,17.0,11.0,0.501807,10000,uniform,nan,nan,nan,nan,nan,0.271041,0.789147,5.052414
56,15196,0.05,,400,14.2,18.0,0.45285,10000,uniform,nan,nan,nan,nan,nan,0.249566,0.739245,4.654399
57,15596,0.05,,400,20.2,13.2,0.471531,10000,uniform,nan,nan,nan,nan,nan,0.228956,0.760841,4.671264
58,15996,0.05,,400,11.2,12.4,0.518697,10000,uniform,nan,nan,nan,nan,nan,0.232883,0.831038,4.493837
59,16396,0.05,,400,14.8,15.0,0.477427,10000,uniform,nan,nan,nan,nan,nan,0.185496,0.787591,4.081295
60,16796,0.05,,400,14.8,18.0,0.486272,10000,uniform,nan,nan,nan,nan,nan,0.198022,0.792522,4.484939
61,17196,0.05,,400,12.6,12.6,0.504463,10000,uniform,nan,nan,nan,nan,nan,0.158759,0.818193,4.30225
62,17596,0.05,,400,12.6,14.6,0.481177,10000,uniform,nan,nan,nan,nan,nan,0.152082,0.796483,4.1679
